aaeg	15419	7162544
aaeo	1560	490148
aful	2420	669587
afum	9887	4795182
agam	12457	5901619
amel	9257	4729600
anid	10753	5210847
aory	12074	5418691
apis	10466	5381547
atha	33200	13383137
atum	5355	1662940
bant	5584	1459125
bbov	3708	1857061
bmaa	13266	4488379
bmal	5024	1569622
bmor	14623	5949148
bpse	6347	2448060
bsui	3272	932122
calb	12141	5841295
cbot	3984	1148930
cbri	21974	8729886
cbur	1848	523270
cele	20200	8287732
cgla	5192	2613393
chom	3886	1757638
cimm	9910	4309464
cint	14180	5255940
cjej	1623	507979
ckor	1602	474995
clup	19305	10211826
cmaq	1963	601176
cmer	5014	2521725
cmur	3934	2305684
cneg	6980	3572073
cneo	6223	3196436
cpar	3805	2271431
cper	2876	899399
cpip	18883	8240761
cpne	1052	362041
cpos	9897	4105375
crei	14598	6611827
ctep	2245	629979
ddis	13327	7062174
deth	1580	438843
dhan	6334	2909226
dmel	14076	7461007
drad	3167	980285
drer	24147	11366854
ebie	3633	867443
ecab	18373	10716221
ecol	4226	1339321
ecun	1996	716830
edis	8748	3566947
egos	4715	2312762
ehis	8306	3475050
eint	1832	653080
einv	11549	5181117
ftul	1604	497951
ggal	16736	8099029
glab	4470	2731700
glae	5064	3143195
glam	9667	3419453
gsul	3445	1137930
gthe	485	151414
gzea	13321	5941596
halo	2622	737458
hbut	1602	449798
hsap	23678	12103556
hwal	2646	787475
ihos	1434	399100
isca	20486	5816622
klac	5336	2503653
lbic	19036	6979383
lbra	8357	5195650
linf	8241	5196571
lmaj	8412	5303173
lmex	8250	5180460
lmon	2846	870846
mbre	9196	5503191
mdom	19466	10142694
mgri	1178	481990
micr	10137	4896465
mjan	1786	507683
mlep	1604	538593
mmar	1722	490051
mmul	29736	14609429
mmus	23497	11494162
msed	2256	640287
msmi	1793	555768
mtub	3989	1336162
ncan	7082	6037978
ncra	9935	4977032
nequ	536	151570
nmar	1795	493620
nvec	27273	9000667
oana	17951	7405585
osat	26777	10669052
otau	7725	2986337
pber	4904	3379105
pcha	5131	3467674
pchr	10048	4564713
pfal	5524	4156460
phum	10773	5536404
pkno	5197	3741403
ppat	35938	13007217
pram	15743	7482910
psti	5816	2860115
ptro	19829	10428368
pviv	5435	3770419
pyoe	7724	3347744
rbal	7325	2306089
rcom	31221	10419776
rnor	22503	10751804
rpro	835	279227
rsol	5113	1689181
rtyp	838	279079
saur	2731	808179
scer	5885	2916221
sent	4758	1417068
sfle	4440	1282042
sman	21589	9688559
smar	1570	454821
spne	2106	599374
spom	5003	2362162
ssol	2977	840528
syne	2519	728915
tadh	11520	5219359
tann	3795	2026930
tbrg	9895	4494266
tbru	19062	9659752
tcon	13459	5519124
tcru	19473	9849832
tgon	9024	6180458
tmar	1858	584974
tnig	19602	9897275
tpal	1036	351431
tpar	2223	1036696
tpse	11776	5835820
trub	18523	10445864
tthe	27424	16566765
tvag	59672	18250753
tviv	11885	5161545
tvol	1499	450122
vcar	14436	8202900
vcho	3835	1166098
wend	1275	403108
wsuc	2042	659440
yent	4051	1298517
ylip	6472	3148702
ypes	4066	1285214
